2018-09-20 15:36:31, eu.arrowhead.common.Utility, ERROR, Request returned with BAD_URI: monitor/feedback is not a valid path!
2018-09-20 15:36:31, eu.arrowhead.core.eventhandler.EventHandlerResource, ERROR, Callback after event publishing failed at: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:36:46, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8488/qosmonitorclient
2018-09-20 15:36:46, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8488/qosmonitorclient
2018-09-20 15:36:46, eu.arrowhead.core.eventhandler.EventHandlerService, INFO, Event published to 1 subscribers.
2018-09-20 15:36:46, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:36:46, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:36:46, eu.arrowhead.common.Utility, ERROR, Request returned with BAD_URI: monitor/feedback is not a valid path!
2018-09-20 15:36:46, eu.arrowhead.core.eventhandler.EventHandlerResource, ERROR, Callback after event publishing failed at: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:37:02, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8488/qosmonitorclient
2018-09-20 15:37:02, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8488/qosmonitorclient
2018-09-20 15:37:02, eu.arrowhead.core.eventhandler.EventHandlerService, INFO, Event published to 1 subscribers.
2018-09-20 15:37:02, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:37:02, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:37:02, eu.arrowhead.common.Utility, ERROR, Request returned with BAD_URI: monitor/feedback is not a valid path!
2018-09-20 15:37:02, eu.arrowhead.core.eventhandler.EventHandlerResource, ERROR, Callback after event publishing failed at: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:37:17, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8488/qosmonitorclient
2018-09-20 15:37:17, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8488/qosmonitorclient
2018-09-20 15:37:17, eu.arrowhead.core.eventhandler.EventHandlerService, INFO, Event published to 1 subscribers.
2018-09-20 15:37:17, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:37:17, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:37:17, eu.arrowhead.common.Utility, ERROR, Request returned with BAD_URI: monitor/feedback is not a valid path!
2018-09-20 15:37:17, eu.arrowhead.core.eventhandler.EventHandlerResource, ERROR, Callback after event publishing failed at: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:37:32, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8488/qosmonitorclient
2018-09-20 15:37:32, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8488/qosmonitorclient
2018-09-20 15:37:32, eu.arrowhead.core.eventhandler.EventHandlerService, INFO, Event published to 1 subscribers.
2018-09-20 15:37:32, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:37:32, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:37:32, eu.arrowhead.common.Utility, ERROR, Request returned with BAD_URI: monitor/feedback is not a valid path!
2018-09-20 15:37:32, eu.arrowhead.core.eventhandler.EventHandlerResource, ERROR, Callback after event publishing failed at: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:37:48, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8488/qosmonitorclient
2018-09-20 15:37:48, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8488/qosmonitorclient
2018-09-20 15:37:48, eu.arrowhead.core.eventhandler.EventHandlerService, INFO, Event published to 1 subscribers.
2018-09-20 15:37:48, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:37:48, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:37:48, eu.arrowhead.common.Utility, ERROR, Request returned with BAD_URI: monitor/feedback is not a valid path!
2018-09-20 15:37:48, eu.arrowhead.core.eventhandler.EventHandlerResource, ERROR, Callback after event publishing failed at: http://0.0.0.0:8450/monitor/feedback
2018-09-20 15:38:03, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8488/qosmonitorclient
